代號,名稱,買賣超張數,投本比
6116,彩晶,47031,1.45
2027,大成鋼,10553,1.12
4968,立積,514,0.94
2439,美律,1846,0.92
2451,創見,3293,0.76
4190,佐登-KY,302,0.49
5457,宣德,750,0.45
3141,晶宏,270,0.43
2492,華新科,2019,0.42
3665,貿聯-KY,461,0.39
8016,矽創,457,0.38
5299,杰力,133,0.38
6274,台燿,860,0.35
2345,智邦,1876,0.34
3443,創意,459,0.34
3527,聚積,105,0.3
2455,全新,474,0.26
6568,宏觀,59,0.24
1305,華夏,1072,0.22
3533,嘉澤,205,0.22
8086,宏捷科,313,0.22
3406,玉晶光,187,0.19
2449,京元電子,2207,0.18
1536,和大,383,0.15
3016,嘉晶,413,0.15
2338,光罩,335,0.13
2889,國票金,2839,0.1
8163,達方,281,0.1
3231,緯創,2528,0.09
4803,VHQ-KY,30,0.09
1589,永冠-KY,91,0.08
2385,群光,552,0.08
9941,裕融,208,0.08
6173,信昌電,130,0.08
2351,順德,135,0.07
2478,大毅,130,0.07
6153,嘉聯益,220,0.07
5483,中美晶,386,0.07
2367,燿華,330,0.06
5269,祥碩,39,0.06
6239,力成,468,0.06
6138,茂達,65,0.06
8942,森鉅,100,0.06
2015,豐興,296,0.05
2303,聯電,6047,0.05
2349,錸德,913,0.05
5425,台半,126,0.05
2104,中橡,236,0.04
2204,中華,596,0.04
2313,華通,445,0.04
2382,廣達,1447,0.04
3376,新日興,75,0.04
3645,達邁,55,0.04
3706,神達,326,0.04
4536,拓凱,33,0.04
3081,聯亞,34,0.04
3092,鴻碩,30,0.04
9951,皇田,30,0.04
1210,大成,236,0.03
1402,遠東新,1459,0.03
2360,致茂,106,0.03
2373,震旦行,64,0.03
6176,瑞儀,156,0.03
6269,台郡,83,0.03
6288,聯嘉,40,0.03
3105,穩懋,110,0.03
3374,精材,85,0.03
3529,力旺,20,0.03
4947,昂寶-KY,18,0.03
4966,譜瑞-KY,22,0.03
6470,宇智,10,0.03
2441,超豐,105,0.02
2448,晶電,214,0.02
3005,神基,126,0.02
3008,大立光,26,0.02
3044,健鼎,116,0.02
3450,聯鈞,29,0.02
3708,上緯投控,20,0.02
2231,為升,10,0.01
2383,台光電,18,0.01
2474,可成,45,0.01
3023,信邦,12,0.01
4943,康控-KY,10,0.01
6024,群益期,11,0.01
6415,矽力-KY,7,0.01
6456,GIS-KY,49,0.01
8112,至上,27,0.01
3227,原相,15,0.01
3563,牧德,3,0.01
6023,元大期,16,0.01
6121,新普,11,0.01
8462,柏文,6,0.01
1102,亞泥,-71,0
1216,統一,-112,0
1227,佳格,-1,0
1301,台塑,-162,0
1314,中石化,22,0
1434,福懋,-1,0
1504,東元,3,0
1605,華新,-32,0
1717,長興,0,0
1722,台肥,1,0
1723,中碳,-1,0
1789,神隆,0,0
1802,台玻,2,0
1909,榮成,2,0
2002,中鋼,-385,0
2049,上銀,-12,0
2059,川湖,-3,0
2103,台橡,1,0
2105,正新,-56,0
2106,建大,1,0
2201,裕隆,2,0
2301,光寶科,103,0
2308,台達電,-80,0
2317,鴻海,-676,0
2327,國巨,5,0
2330,台積電,-956,0
2344,華邦電,5,0
2354,鴻準,-38,0
2355,敬鵬,16,0
2371,大同,4,0
2379,瑞昱,1,0
2395,研華,-14,0
2404,漢唐,-6,0
2412,中華電,-77,0
2454,聯發科,27,0
2458,義隆,-1,0
2498,宏達電,2,0
2548,華固,-8,0
2603,長榮,4,0
2606,裕民,1,0
2610,華航,4,0
2615,萬海,2,0
2618,長榮航,4,0
2633,台灣高鐵,-65,0
2723,美食-KY,1,0
2801,彰銀,-182,0
2809,京城銀,2,0
2812,台中銀,4,0
2823,中壽,-75,0
2834,臺企銀,7,0
2845,遠東銀,-141,0
2867,三商壽,2,0
2880,華南金,-253,0
2881,富邦金,-226,0
2884,玉山金,-232,0
2885,元大金,-17,0
2887,台新金,-293,0
2888,新光金,14,0
2890,永豐金,-317,0
2892,第一金,-297,0
2912,統一超,-43,0
2915,潤泰全,1,0
3019,亞光,8,0
3026,禾伸堂,-3,0
3682,亞太電,4,0
4137,麗豐-KY,2,0
4904,遠傳,-50,0
4958,臻鼎-KY,1,0
5880,合庫金,-272,0
6285,啟碁,1,0
6505,台塑化,-149,0
8422,可寧衛,-3,0
8464,億豐,-5,0
9904,寶成,-82,0
9921,巨大,2,0
9933,中鼎,1,0
9945,潤泰新,2,0
6147,頎邦,14,0
8069,元太,20,0
8299,群聯,9,0
3552,同致,-3,0
1303,南亞,-949,-0.01
1476,儒鴻,-26,-0.01
1773,勝一,-21,-0.01
2408,南亞科,-247,-0.01
2838,聯邦銀,-143,-0.01
2882,國泰金,-1243,-0.01
2891,中信金,-2771,-0.01
3045,台灣大,-315,-0.01
4915,致伸,-36,-0.01
4938,和碩,-254,-0.01
6414,樺漢,-8,-0.01
9911,櫻花,-20,-0.01
9938,百和,-23,-0.01
3078,僑威,-16,-0.01
3264,欣銓,-50,-0.01
3293,鈊象,-4,-0.01
5274,信驊,-5,-0.01
5347,世界,-235,-0.01
8406,金可-KY,-6,-0.01
1702,南僑,-54,-0.02
2886,兆豐金,-3018,-0.02
3532,台勝科,-131,-0.02
4107,邦特,-15,-0.02
5263,智崴,-10,-0.02
6488,環球晶,-84,-0.02
8155,博智,-12,-0.02
1319,東陽,-184,-0.03
1560,中砂,-40,-0.03
2337,旺宏,-497,-0.03
2347,聯強,-544,-0.03
2356,英業達,-1208,-0.03
3702,大聯大,-532,-0.03
4551,智伸科,-23,-0.03
5871,中租-KY,-349,-0.03
5907,大洋-KY,-50,-0.03
8210,勤誠,-36,-0.03
4147,中裕,-71,-0.03
1101,台泥,-1737,-0.04
1312,國喬,-346,-0.04
2357,華碩,-292,-0.04
2481,強茂,-162,-0.04
4763,材料-KY,-20,-0.04
4919,新唐,-80,-0.04
5288,豐祥-KY,-25,-0.04
9802,鈺齊-KY,-54,-0.04
3611,鼎翰,-17,-0.04
3623,富晶通,-13,-0.04
1326,台化,-2920,-0.05
1704,榮化,-462,-0.05
2353,宏碁,-1499,-0.05
3034,聯詠,-327,-0.05
3036,文曄,-290,-0.05
6182,合晶,-250,-0.05
1215,卜蜂,-159,-0.06
1590,亞德客-KY,-121,-0.06
3583,辛耘,-49,-0.06
6213,聯茂,-190,-0.06
3030,德律,-170,-0.07
4552,力達-KY,-72,-0.07
6510,精測,-22,-0.07
6005,群益證,-1846,-0.09
4736,泰博,-71,-0.09
1229,聯華,-912,-0.1
1477,聚陽,-218,-0.1
1597,直得,-60,-0.1
6462,神盾,-86,-0.12
5434,崇越,-236,-0.13
8349,恒耀,-150,-0.14
2409,友達,-14673,-0.15
3014,聯陽,-250,-0.15
8926,台汽電,-865,-0.15
2883,開發金,-23285,-0.16
3481,群創,-18262,-0.18
2352,佳世達,-4460,-0.23
3090,日電貿,-402,-0.24
5388,中磊,-581,-0.24
2456,奇力新,-669,-0.29
2324,仁寶,-13850,-0.31
2542,興富發,-3602,-0.31
3661,世芯-KY,-201,-0.33
1565,精華,-203,-0.4
6449,鈺邦,-319,-0.42
2377,微星,-5309,-0.63
2376,技嘉,-4639,-0.73
6238,勝麗,-460,-0.92
